Ranking;Title;Director;genre_action;genre_adventure;genre_comedy;genre_crime;genre_drama;genre_fantasy;genre_horror;genre_mystery;genre_romance;genre_sci-fi;genre_thriller;Actor 1;Actor 2;Actor 3;Actor 4;Year;Runtime (Minutes);Rating;Votes;Revenue (Millions);Metascore
1;Guardians of the Galaxy;James Gunn;yes;yes;no;no;no;no;no;no;no;yes;no;Chris Pratt;Vin Diesel;Bradley Cooper;Zoe Saldana;2014;121;8.1;757074;333.13;76
2;Prometheus;Ridley Scott;no;yes;no;no;no;no;no;yes;no;yes;no;Noomi Rapace;Logan Marshall-Green;Michael Fassbender;Charlize Theron;2012;124;7;485820;126.46;65
3;Split;M. Night Shyamalan;no;no;no;no;no;no;yes;no;no;no;yes;James McAvoy;Anya Taylor-Joy;Haley Lu Richardson;Jessica Sula;2016;117;7.3;157606;138.12;62
4;Sing;Christophe Lourdelet;no;no;yes;no;no;no;no;no;no;no;no;Matthew McConaughey;Reese Witherspoon;Seth MacFarlane;Scarlett Johansson;2016;108;7.2;60545;270.32;59
5;Suicide Squad;David Ayer;yes;yes;no;no;no;yes;no;no;no;no;no;Will Smith;Jared Leto;Margot Robbie;Viola Davis;2016;123;6.2;393727;325.02;40
6;The Great Wall;Yimou Zhang;yes;yes;no;no;no;yes;no;no;no;no;no;Matt Damon;Tian Jing;Willem Dafoe;Andy Lau;2016;103;6.1;56036;45.13;42
7;La La Land;Damien Chazelle;no;no;yes;no;yes;no;no;no;no;no;no;Ryan Gosling;Emma Stone;Rosemarie DeWitt;J.K. Simmons;2016;128;8.3;258682;151.06;93
8;Mindhorn;Sean Foley;no;no;yes;no;no;no;no;no;no;no;no;Essie Davis;Andrea Riseborough;Julian Barratt;Kenneth Branagh;2016;89;6.4;2490;;71
9;The Lost City of Z;James Gray;yes;yes;no;no;no;no;no;no;no;no;no;Charlie Hunnam;Robert Pattinson;Sienna Miller;Tom Holland;2016;141;7.1;7188;8.01;78
10;Passengers;Morten Tyldum;no;yes;no;no;yes;no;no;no;yes;no;no;Jennifer Lawrence;Chris Pratt;Michael Sheen;Laurence Fishburne;2016;116;7;192177;100.01;41
11;Fantastic Beasts and Where to Find Them;David Yates;no;yes;no;no;no;yes;no;no;no;no;no;Eddie Redmayne;Katherine Waterston;Alison Sudol;Dan Fogler;2016;133;7.5;232072;234.02;66
12;Hidden Figures;Theodore Melfi;no;no;no;no;yes;no;no;no;no;no;no;Taraji P. Henson;Octavia Spencer;Janelle Monáe;Kevin Costner;2016;127;7.8;93103;169.27;74
13;Rogue One;Gareth Edwards;yes;yes;no;no;no;no;no;no;no;yes;no;Felicity Jones;Diego Luna;Alan Tudyk;Donnie Yen;2016;133;7.9;323118;532.17;65
14;Moana;Ron Clements;no;yes;yes;no;no;no;no;no;no;no;no;Auli'i Cravalho;Dwayne Johnson;Rachel House;Temuera Morrison;2016;107;7.7;118151;248.75;81
15;Colossal;Nacho Vigalondo;yes;no;yes;no;yes;no;no;no;no;no;no;Anne Hathaway;Jason Sudeikis;Austin Stowell;Tim Blake Nelson;2016;109;6.4;8612;2.87;70
16;The Secret Life of Pets;Chris Renaud;no;yes;yes;no;no;no;no;no;no;no;no;Louis C.K.;Eric Stonestreet;Kevin Hart;Lake Bell;2016;87;6.6;120259;368.31;61
17;Hacksaw Ridge;Mel Gibson;no;no;no;no;yes;no;no;no;no;no;no;Andrew Garfield;Sam Worthington;Luke Bracey;Teresa Palmer;2016;139;8.2;211760;67.12;71
18;Jason Bourne;Paul Greengrass;yes;no;no;no;no;no;no;no;no;no;yes;Matt Damon;Tommy Lee Jones;Alicia Vikander;Vincent Cassel;2016;123;6.7;150823;162.16;58
19;Lion;Garth Davis;no;no;no;no;yes;no;no;no;no;no;no;Dev Patel;Nicole Kidman;Rooney Mara;Sunny Pawar;2016;118;8.1;102061;51.69;69
20;Arrival;Denis Villeneuve;no;no;no;no;yes;no;no;yes;no;yes;no;Amy Adams;Jeremy Renner;Forest Whitaker;Michael Stuhlbarg;2016;116;8;340798;100.5;81
21;Gold;Stephen Gaghan;no;yes;no;no;yes;no;no;no;no;no;yes;Matthew McConaughey;Edgar Ramírez;Bryce Dallas Howard;Corey Stoll;2016;120;6.7;19053;7.22;49
22;Manchester by the Sea;Kenneth Lonergan;no;no;no;no;yes;no;no;no;no;no;no;Casey Affleck;Michelle Williams;Kyle Chandler;Lucas Hedges;2016;137;7.9;134213;47.7;96
23;Hounds of Love;Ben Young;no;no;no;yes;yes;no;yes;no;no;no;no;Emma Booth;Ashleigh Cummings;Stephen Curry;Susie Porter;2016;108;6.7;1115;;72
24;Trolls;Walt Dohrn;no;yes;yes;no;no;no;no;no;no;no;no;Anna Kendrick;Justin Timberlake;Zooey Deschanel;Christopher Mintz-Plasse;2016;92;6.5;38552;153.69;56
25;Independence Day: Resurgence;Roland Emmerich;yes;yes;no;no;no;no;no;no;no;yes;no;Liam Hemsworth;Jeff Goldblum;Bill Pullman;Maika Monroe;2016;120;5.3;127553;103.14;32
26;Paris pieds nus;Dominique Abel;no;no;yes;no;no;no;no;no;no;no;no;Fiona Gordon;Dominique Abel;Emmanuelle Riva;Pierre Richard;2016;83;6.8;222;;
27;Bahubali: The Beginning;S.S. Rajamouli;yes;yes;no;no;yes;no;no;no;no;no;no;Prabhas;Rana Daggubati;Anushka Shetty;Tamannaah Bhatia;2015;159;8.3;76193;6.5;
28;Dead Awake;Phillip Guzman;no;no;no;no;no;no;yes;no;no;no;yes;Jocelin Donahue;Jesse Bradford;Jesse Borrego;Lori Petty;2016;99;4.7;523;0.01;
29;Bad Moms;Jon Lucas;no;no;yes;no;no;no;no;no;no;no;no;Mila Kunis;Kathryn Hahn;Kristen Bell;Christina Applegate;2016;100;6.2;66540;113.08;60
30;Assassin's Creed;Justin Kurzel;yes;yes;no;no;yes;no;no;no;no;no;no;Michael Fassbender;Marion Cotillard;Jeremy Irons;Brendan Gleeson;2016;115;5.9;112813;54.65;36
31;Why Him?;John Hamburg;no;no;yes;no;no;no;no;no;no;no;no;Zoey Deutch;James Franco;Tangie Ambrose;Cedric the Entertainer;2016;111;6.3;48123;60.31;39
32;Nocturnal Animals;Tom Ford;no;no;no;no;yes;no;no;no;no;no;yes;Amy Adams;Jake Gyllenhaal;Michael Shannon;Aaron Taylor-Johnson;2016;116;7.5;126030;10.64;67
33;X-Men: Apocalypse;Bryan Singer;yes;yes;no;no;no;no;no;no;no;yes;no;James McAvoy;Michael Fassbender;Jennifer Lawrence;Nicholas Hoult;2016;144;7.1;275510;155.33;52
34;Deadpool;Tim Miller;yes;yes;yes;no;no;no;no;no;no;no;no;Ryan Reynolds;Morena Baccarin;T.J. Miller;Ed Skrein;2016;108;8;627797;363.02;65
35;Resident Evil: The Final Chapter;Paul W.S. Anderson;yes;no;no;no;no;no;yes;no;no;yes;no;Milla Jovovich;Iain Glen;Ali Larter;Shawn Roberts;2016;107;5.6;46165;26.84;49
36;Captain America: Civil War;Anthony Russo;yes;yes;no;no;no;no;no;no;no;yes;no;Chris Evans;Robert Downey Jr.;Scarlett Johansson;Sebastian Stan;2016;147;7.9;411656;408.08;75
37;Interstellar;Christopher Nolan;no;yes;no;no;yes;no;no;no;no;yes;no;Matthew McConaughey;Anne Hathaway;Jessica Chastain;Mackenzie Foy;2014;169;8.6;1047747;187.99;74
38;Doctor Strange;Scott Derrickson;yes;yes;no;no;no;yes;no;no;no;no;no;Benedict Cumberbatch;Chiwetel Ejiofor;Rachel McAdams;Benedict Wong;2016;115;7.6;293732;232.6;72
39;The Magnificent Seven;Antoine Fuqua;yes;yes;no;no;no;no;no;no;no;no;no;Denzel Washington;Chris Pratt;Ethan Hawke;Vincent D'Onofrio;2016;132;6.9;122853;93.38;54
40;5/25/1977;Patrick Read Johnson;no;no;yes;no;yes;no;no;no;no;no;no;John Francis Daley;Austin Pendleton;Colleen Camp;Neil Flynn;2007;113;7.1;241;;
41;Sausage Party;Greg Tiernan;no;yes;yes;no;no;no;no;no;no;no;no;Seth Rogen;Kristen Wiig;Jonah Hill;Alistair Abell;2016;89;6.3;120690;97.66;66
42;Moonlight;Barry Jenkins;no;no;no;no;yes;no;no;no;no;no;no;Mahershala Ali;Shariff Earp;Duan Sanderson;Alex R. Hibbert;2016;111;7.5;135095;27.85;99
